datetime,hs,direction,tz,tp,temperature,h_onethird,hmax,tav
2020-11-12 23:15:00+00,0.47,0,3,3.5,25.65,0.4,0.71,3.1
2020-11-12 23:45:00+00,0.43,1,3.1,3.6,25.65,0.37,0.61,3.1
2020-11-13 00:15:00+00,0.35,354,3,3.5,25.65,0.32,0.56,3.1
2020-11-13 00:45:00+00,0.36,354,3,3.6,25.6,0.31,0.56,3.2
2020-11-13 01:15:00+00,0.33,359,3,3.5,25.6,0.28,0.55,3.1
2020-11-13 01:45:00+00,0.3,352,3,3.5,25.6,0.25,0.46,3.2
2020-11-13 02:15:00+00,0.28,356,3.1,3.3,25.6,0.25,0.45,3.2
2020-11-13 02:45:00+00,0.26,343,3.2,3.6,25.6,0.23,0.39,3.3
2020-11-13 03:15:00+00,0.27,278,3.1,7.7,25.6,0.23,0.36,3.2
2020-11-13 03:45:00+00,0.27,273,3,7.7,25.6,0.24,0.43,3.2
2020-11-13 04:15:00+00,0.3,281,2.7,7.7,25.6,0.25,0.39,2.9
2020-11-13 04:45:00+00,0.31,278,2.7,7.1,25.6,0.25,0.44,2.9
2020-11-13 05:15:00+00,0.32,79,2.5,2,25.55,0.26,0.49,2.7
2020-11-13 05:45:00+00,0.32,86,2.5,2,25.55,0.26,0.45,2.6
2020-11-13 06:15:00+00,0.31,90,2.5,1.9,25.6,0.25,0.48,2.6
2020-11-13 06:45:00+00,0.31,89,2.5,2,25.6,0.24,0.44,2.6
2020-11-13 07:15:00+00,0.3,91,2.5,2,25.55,0.25,0.52,2.8
2020-11-13 07:45:00+00,0.3,276,2.6,7.1,25.55,0.25,0.46,3
2020-11-13 08:15:00+00,0.3,271,2.6,7.7,25.55,0.25,0.38,2.9
2020-11-13 08:45:00+00,0.25,274,3.4,6.7,25.6,0.22,0.38,3.5
2020-11-13 09:15:00+00,0.26,274,3.6,7.1,25.55,0.23,0.42,3.8
2020-11-13 09:45:00+00,0.24,273,3.2,6.7,25.6,0.22,0.37,3.4
2020-11-13 10:15:00+00,0.27,264,2.9,7.1,25.6,0.24,0.48,3
2020-11-13 10:45:00+00,0.34,274,2.6,6.7,25.6,0.28,0.53,2.8
2020-11-13 11:15:00+00,0.42,1,2.6,2.5,25.6,0.34,0.62,2.8
2020-11-13 11:45:00+00,0.5,1,2.7,2.9,25.65,0.42,0.74,2.8
2020-11-13 12:15:00+00,0.59,11,2.8,2.9,25.65,0.49,0.9,2.8
2020-11-13 12:45:00+00,0.64,8,2.8,3.2,25.65,0.54,1.17,3
2020-11-13 13:15:00+00,0.66,1,2.9,3.3,25.6,0.56,0.92,3
2020-11-13 13:45:00+00,0.69,1,2.9,3.6,25.6,0.61,1.03,3.1
2020-11-13 14:15:00+00,0.75,4,3,3.5,25.6,0.62,0.97,3.1
2020-11-13 14:45:00+00,0.76,8,3,3.5,25.55,0.66,1.11,3.1
2020-11-13 15:15:00+00,0.75,6,3,3.6,25.55,0.67,1.27,3.1
2020-11-13 15:45:00+00,0.76,4,3,3.5,25.55,0.65,1.07,3.1
2020-11-13 16:15:00+00,0.74,8,3,3.7,25.55,0.63,1.04,3.2
2020-11-13 16:45:00+00,0.72,359,3.1,3.9,25.55,0.61,1.38,3.2
2020-11-13 17:15:00+00,0.65,7,3,3.5,25.5,0.55,0.87,3.2
2020-11-13 17:45:00+00,0.57,359,3.1,3.7,25.45,0.49,0.95,3.2
2020-11-13 18:15:00+00,0.57,357,3.1,3.6,25.45,0.5,0.95,3.2
2020-11-13 18:45:00+00,0.54,1,3.2,3.6,25.5,0.46,0.79,3.3
2020-11-13 19:15:00+00,0.5,359,3.1,3.6,25.45,0.43,0.71,3.3
2020-11-13 19:45:00+00,0.51,353,3.1,3.3,25.5,0.44,0.79,3.3
2020-11-13 20:15:00+00,0.47,281,3.2,6.7,25.45,0.4,0.69,3.3
2020-11-13 20:45:00+00,0.45,283,3.4,6.7,25.45,0.39,0.68,3.7
2020-11-13 21:15:00+00,0.45,278,3.5,6.7,25.45,0.4,0.75,3.6
2020-11-13 21:45:00+00,0.43,284,3.3,6.2,25.45,0.38,0.62,3.4
2020-11-13 22:15:00+00,0.45,284,3.3,6.7,25.4,0.39,0.73,3.5
2020-11-13 22:45:00+00,0.44,278,3.2,6.2,25.4,0.39,0.64,3.5
2020-11-13 23:15:00+00,0.43,281,3.3,6.2,25.4,0.37,0.61,3.4
2020-11-13 23:45:00+00,0.42,277,3.1,6.2,25.4,0.38,0.75,3.5
2020-11-14 00:15:00+00,0.4,278,3,6.2,25.35,0.36,0.63,3.2
2020-11-14 00:45:00+00,0.38,283,2.9,5.9,25.35,0.33,0.51,3.2
2020-11-14 01:15:00+00,0.4,277,2.8,5.9,25.3,0.34,0.63,3
2020-11-14 01:45:00+00,0.41,280,2.6,5.9,25.3,0.34,0.61,2.8
2020-11-14 02:15:00+00,0.41,287,2.6,6.2,25.3,0.33,0.58,2.9
2020-11-14 02:45:00+00,0.41,280,2.6,6.2,25.25,0.34,0.64,2.9
2020-11-14 03:15:00+00,0.4,89,2.5,2.1,25.25,0.32,0.61,2.8
2020-11-14 03:45:00+00,0.38,90,2.5,2.1,25.2,0.31,0.58,2.7
2020-11-14 04:15:00+00,0.4,96,2.5,2.1,25.2,0.33,0.54,2.7
2020-11-14 04:45:00+00,0.4,90,2.4,2,25.2,0.32,0.6,2.6
2020-11-14 05:15:00+00,0.39,94,2.4,2.1,25.2,0.32,0.55,2.5
2020-11-14 05:45:00+00,0.37,94,2.4,2.1,25.2,0.3,0.6,2.6
2020-11-14 06:15:00+00,0.4,84,2.4,2.2,25.2,0.32,0.51,2.5
